jsonModel,name,licensePlate,brand,model,category,year,color,seats,fuelType,transmission,mileage,dailyRate,status,purchaseDate,purchasePrice,notes,sequence,importId,agency
Vehicle,Tesla Model 3,AB-123-CD,Tesla,Model 3,sedan,2023,White,5,electric,automatic,25000,95.00,available,2023-06-15,45000.00,Premium electric sedan with autopilot,1,1,PAR-CDG
Vehicle,Renault Clio,FR-456-GH,Renault,Clio,compact,2022,Red,5,gasoline,manual,38000,45.00,available,2022-03-10,18000.00,Reliable city car,2,2,PAR-CDG
Vehicle,Volkswagen Tiguan,BE-789-IJ,Volkswagen,Tiguan,suv,2024,Blue,5,diesel,automatic,12000,85.00,rented,2024-01-20,38000.00,Family SUV with all-wheel drive,3,3,BRU-MID
Vehicle,Toyota Yaris,ES-321-KL,Toyota,Yaris,economy,2023,Silver,5,hybrid,automatic,18000,50.00,available,2023-09-05,22000.00,Hybrid economy with low fuel consumption,4,4,MAD-ATO
Vehicle,BMW Serie 5,DE-654-MN,BMW,Serie 5,luxury,2024,Black,5,hybrid,automatic,8000,150.00,available,2024-02-14,65000.00,Executive sedan with leather interior,5,5,BER-MIT
Vehicle,Mercedes V-Class,IT-987-OP,Mercedes-Benz,V-Class,van,2023,Grey,8,diesel,automatic,31000,120.00,maintenance,2023-04-22,58000.00,8-seater van scheduled for service,6,6,MAD-ATO
Vehicle,Peugeot 208,FR-111-AA,Peugeot,208,compact,2023,White,5,gasoline,manual,22000,42.00,available,2023-07-01,17500.00,Small efficient hatchback,7,7,PAR-CDG
Vehicle,Ford Transit,GB-222-BB,Ford,Transit,van,2022,White,9,diesel,manual,55000,95.00,retired,2022-01-15,32000.00,Cargo van being phased out,8,8,BER-MIT
Vehicle,Citroën C3,FR-OR1-CR,Citroën,C3,compact,2022,White,5,gasoline,manual,28000,40.00,available,2022-05-12,17500.00,City compact for short rentals,9,9,PAR-ORY
Vehicle,Audi A3,FR-OR2-A3,Audi,A3,sedan,2023,Black,5,hybrid,automatic,15000,75.00,available,2023-04-18,32000.00,Comfortable hybrid sedan,10,10,PAR-ORY
Vehicle,Renault Trafic,FR-OR3-TR,Renault,Trafic,van,2022,White,9,diesel,manual,42000,90.00,rented,2022-06-08,29000.00,9-seater for group transfers,11,11,PAR-ORY
