name,modelName,modelField,jsonModelName,targetJsonModelName,targetModel,type,title,sequence,tracked,widget,hidden,widgetAttrs,visibleInGrid,selection,nameField,required,readonly
name,MetaJsonRecord,attrs,ProductExtraOptions,,,string,Nom,,,,,"{""translatable"":""true""}",true,,,,
weight,Product,attrs,,,,decimal,Weight (kg),1,true,,,"{""nullable"":""true"", ""colSpan"": ""4""}",,,,,
dimensions,Product,attrs,,,,string,Dimensions,2,true,,,"{""colSpan"": ""4""}",,,,,
brand,Product,attrs,,,,string,Brand,3,true,,,"{""colSpan"": ""4""}",,,,,
extraOptions,Product,attrs,,ProductExtraOptions,,json-many-to-many,Extra Options,4,false,Tags,,"{""colSpan"": ""12""}",,,,,
importId,MetaJsonRecord,attrs,ProductExtraOptions,,,integer,,,,,true,,,,,,
name,MetaJsonRecord,attrs,Vehicle,,,string,Name,1,,,,"",true,,true,true,
licensePlate,MetaJsonRecord,attrs,Vehicle,,,string,License plate,2,"",,,"",true,,,true,
brand,MetaJsonRecord,attrs,Vehicle,,,string,Brand,3,,,,"",true,,,true,
model,MetaJsonRecord,attrs,Vehicle,,,string,Model,4,,,,"",true,,,true,
category,MetaJsonRecord,attrs,Vehicle,,,string,Category,5,,,,"",true,rental.vehicle.category.select,,,
year,MetaJsonRecord,attrs,Vehicle,,,integer,Year,6,,,,"",,,,,
color,MetaJsonRecord,attrs,Vehicle,,,string,Color,7,,,,"",,,,,
seats,MetaJsonRecord,attrs,Vehicle,,,integer,Seats,8,,,,"",,,,,
fuelType,MetaJsonRecord,attrs,Vehicle,,,string,Fuel type,9,,SwitchSelect,,"",,rental.vehicle.fuel.select,,,
transmission,MetaJsonRecord,attrs,Vehicle,,,string,Transmission,10,,SwitchSelect,,"",,rental.vehicle.transmission.select,,,
mileage,MetaJsonRecord,attrs,Vehicle,,,integer,Mileage (km),11,true,,,"",,,,,
dailyRate,MetaJsonRecord,attrs,Vehicle,,,decimal,Daily rate,12,true,,,"",true,,,,
status,MetaJsonRecord,attrs,Vehicle,,,string,Status,13,true,,,"",true,rental.vehicle.status.select,,,
purchaseDate,MetaJsonRecord,attrs,Vehicle,,,date,Purchase date,14,,,,"",,,,,
purchasePrice,MetaJsonRecord,attrs,Vehicle,,,decimal,Purchase price,15,,,,"",,,,,
notes,MetaJsonRecord,attrs,Vehicle,,,text,Notes,16,,,,"",,,,,
