"key","translation","domain"
"code","Code","com.axelor.sale.db.Tax"
"name","Nom","com.axelor.sale.db.Tax"
"rate","Taux","com.axelor.sale.db.Tax"
"customer","Client","com.axelor.sale.db.Order"
"name","Name","com.axelor.sale.db.Order"
"orderDate","Date de commande","com.axelor.sale.db.Order"
"createDate","Date de création","com.axelor.sale.db.Order"
"confirmDate","Date de confirmation","com.axelor.sale.db.Order"
"confirmed","Confirmé","com.axelor.sale.db.Order"
"amount","Montant HT","com.axelor.sale.db.Order"
"taxAmount","Montant Taxes","com.axelor.sale.db.Order"
"totalAmount","Montant TTC","com.axelor.sale.db.Order"
"notes","Notes","com.axelor.sale.db.Order"
"items","Articles","com.axelor.sale.db.Order"
"code","Code","com.axelor.sale.db.ProductCategory"
"name","Nom","com.axelor.sale.db.ProductCategory"
"parent","Parent","com.axelor.sale.db.ProductCategory"
"code","Code","com.axelor.sale.db.Product"
"name","Nom","com.axelor.sale.db.Product"
"color","Couleur","com.axelor.sale.db.Product"
"category","Catégorie","com.axelor.sale.db.Product"
"order","Commande","com.axelor.sale.db.OrderLine"
"product","Produit","com.axelor.sale.db.OrderLine"
"price","Prix","com.axelor.sale.db.OrderLine"
"quantity","Quantité","com.axelor.sale.db.OrderLine"
"taxes","Taxes","com.axelor.sale.db.OrderLine"
"code","Code Pays","com.axelor.contact.db.Country"
"name","Nom Pays","com.axelor.contact.db.Country"
"code","Code Intitulé","com.axelor.contact.db.Title"
"name","Nom Intitulé","com.axelor.contact.db.Title"
"code","Code Société","com.axelor.contact.db.Company"
"name","Nom Société","com.axelor.contact.db.Company"
"parent","Société principale","com.axelor.contact.db.Company"
"employees","Salariés","com.axelor.contact.db.Company"
"circles","Cercles","com.axelor.contact.db.Company"
"notes","Notes","com.axelor.contact.db.Company"
"contact","Contact","com.axelor.contact.db.Address"
"street","Rue","com.axelor.contact.db.Address"
"area","Compléments","com.axelor.contact.db.Address"
"city","Ville","com.axelor.contact.db.Address"
"zip","ZIP","com.axelor.contact.db.Address"
"country","Pays","com.axelor.contact.db.Address"
"code","Code Cercle","com.axelor.contact.db.Circle"
"name","Nom Cercle","com.axelor.contact.db.Circle"
"title","Intitulé","com.axelor.contact.db.Contact"
"firstName","Prénom","com.axelor.contact.db.Contact"
"lastName","Nom","com.axelor.contact.db.Contact"
"fullName","Nom Complet","com.axelor.contact.db.Contact"
"email","E-mail","com.axelor.contact.db.Contact"
"phone","Téléphone","com.axelor.contact.db.Contact"
"dateOfBirth","Date d'anniversaire","com.axelor.contact.db.Contact"
"addresses","Adresses","com.axelor.contact.db.Contact"
"circle","Cercle","com.axelor.contact.db.Contact"
"notes","Notes","com.axelor.contact.db.Contact"
"image","Image","com.axelor.contact.db.Contact"
"company","Société","com.axelor.contact.db.Contact"
"Sales Management","Ventes",
"Sale Orders","Commande",
"Products","Produits",
"Sales Search...","Recherche commande...",
"Configuration","Configuration",
"Product Categories","Catégories de produits",
"All Taxes","Les Taxes",
"Taxes","Taxes",
"Orders","Les Commandes",
"Order","Commande",
"Order Details","Détails",
"Amount Details","Détails des montant",
": (Amount + Tax Amount)",": (Montant HT + Montant Taxes)",
"Calculate","Calculer",
"Other Details","Détails de la commande",
"Items","Articles",
"Ordered Item","Articles",
"Customer","Client",
"Notes","Notes",
"Create Date is in future.","Date de création supérieur à la date du jour",
"Order Date is in future.","Date de commande supérieur à la date du jour",
"No Sale Order Items. Would you like to continue?","Aucun articles n'a été saisie, Voulez-vous contitnuer ?",
"Order creation date is in the future.","Date de commande supérieur à la date de création",
"Ordered Items","Articles",
"Black","Noir",
"White","Blanc",
"Gray","Gris",
"Red","Rouge",
"Green","Vert",
"Blue","Bleu",
"Yellow","Jaune",
"Chocolate","Chocolat",
"Orange","Orange",
"Purple","Violet",
"Product","Produit",
"Product Category","Catégorie de produit",
"Tax","Taxe",
"Sales Search","Recherche commande...",
"partner","Tiers",
"product","Produit",
"date","Date d'anniversaire",
"value","Valeur",
"customer","Client",
"company","Société",
"Category 1","Catégorie 1",
"Category 2","Catégorie 2",
"Sub Category 11","Sous-catégorie 11",
"Sub Category 12","Sous-catégorie 12",
"Sub Category 13","Sous-catégorie 13",
"Sub Category 21","Sous-catégorie 21",
"Sub Category 22","Sous-catégorie 22",
"Create Partner...","Créer Contact...",
"Create Sale Order...","Créer Commande...",
"Create Partner... (12)","Créer Contact... (12)",
"Create Sale Order... (13)","Créer Commande... (13)",
"Create Partner... (13)","Créer Contact... (13)",
"Create Sale Order... (21)","Créer Commande... (21)",
"Create Partner... (22)","Créer Contact... (22)",
"Welcome!","Bienvenue",
"Dashboards","Tableau de Bord",
"Address Book","Carnet D'adresses",
"All Contacts","Les contacts",
"Contacts","Contacts",
"My Friends","Mes Amis",
"Family Members","Contact Personnel",
"Business Contacts","Contact Professionnel",
"Country","Pays",
"Circles","Cercles",
"Circle","Cercle",
"Titles","Intitulés",
"Title","Intitulé",
"Companies","Sociétés",
"Company","Société",
"Send Greetings...","Envoyer Salutations",
"Home Page...","Page D'acceuil",
"Company List...","Liste sociétés",
