"key","message","comment","context"
"Address","Adresses",,
"Address Book","Carnet D'adresses",,
"Address List","Les Adresses",,
"Addresses","Adresses",,
"All Contacts","Les contacts",,
"Area","Aire",,
"Business Contacts","Contact Professionnel",,
"Circle","Cercle",,
"Circles","Cercles",,
"City","Ville",,
"Click Me!","Cliquer ici!",,
"Code","Code",,
"Companies","Sociétés",,
"Company","Société",,
"Configuration","Configuration",,
"Contact","Contact",,
"Contacts","Contacts",,
"Countries","Les Pays",,
"Country","Pays",,
"Date of birth","Date d'anniverssaire",,
"Email","Email",,
"Emails","Emails",,
"Employees","Employés",,
"Extra","Supplément",,
"Family Members","Contact Personnel",,
"First name","Prénom",,
"Full name","Nom complet",,
"Home","Maison",,
"Invalid","Invalide",,
"Last name","Nom de famille",,
"Max size 4MB.","Taile max : 4MB",,
"Mobile","Portable",,
"My Friends","Mes Amis",,
"Name","Nom",,
"Notes","Notes",,
"Office","Bureau",,
"Opted out","Ne pas envoyer",,
"Other","Autres",,
"Overview","Général",,
"Parent","Parent",,
"Personal","Personnel",,
"Phone","Téléphone",,
"Phones","Téléphones",,
"Photo","Photo",,
"Primary","Principal",,
"State","Etat",,
"Street","Rue",,
"Title","Intitulé",,
"Titles","Intitulés",,
"Type","Type",,
"Zip","Code postal",,
