"key","message","comment","context"
"Abort",,,
"Access",,,
"Actions",,,
"Address",,,
"Address Book",,,
"Address List",,,
"Addresses",,,
"Agriculture",,,
"All Contacts",,,
"Area",,,
"Business Contacts",,,
"Business sector",,,
"Circle",,,
"Circles",,,
"City",,,
"Click Me!",,,
"Code",,,
"Color",,,
"Companies",,,
"Company",,,
"Company List...",,,
"Configuration",,,
"Contact",,,
"Contacts",,,
"Continue",,,
"Countries",,,
"Country",,,
"Date of birth",,,
"Demonstrate how to open new view from action.",,,
"Education",,,
"Email",,,
"Emails",,,
"Employees",,,
"English (United Kingdom)",,,
"Extra",,,
"Family Members",,,
"Fidelity",,,
"Finance",,,
"First name",,,
"Full name",,,
"Greetings",,,
"Health",,,
"Home",,,
"Home Page...",,,
"Invalid",,,
"Invalid data",,,
"Last name",,,
"Last name is too short. Would you like to continue?",,,
"Logistics & Transport",,,
"Manufacturing",,,
"Max size 4MB.",,,
"Mobile",,,
"My Friends",,,
"Name",,,
"Name is too short.",,,
"Notes",,,
"Office",,,
"Opted out",,,
"Other",,,
"Overview",,,
"Parent",,,
"Personal",,,
"Phone",,,
"Phones",,,
"Photo",,,
"Primary",,,
"Send Greetings...",,,
"Signature",,,
"State",,,
"Street",,,
"Technology",,,
"Title",,,
"Titles",,,
"Too short data",,,
"Type",,,
"Website",,,
"Zip code","Postcode",,
